"ID"	"State"	"InitialState"
"MS2010072004"	"S01"	"IS04"
"MS2010072925"	"S01"	"IS04"
"MS2010072930"	"S01"	"IS04"
"MS2010072932"	"S01"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S01"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"S01"	"IS04"
"MS2010072003"	"S02"	"IS02"
"MS2010072019"	"S02"	"IS02"
"MS2010072024"	"S02"	"IS02"
"MS2010072037"	"S02"	"IS02"
"MS2010072040"	"S02"	"IS02"
"MS2010072908"	"S02"	"IS02"
"MS2010072937"	"S02"	"IS02"
"MS2010072036"	"S03"	"IS01"
"MS2010072042"	"S03"	"IS01"
"MS2010072813"	"S03"	"IS01"
"MS2010072827"	"S03"	"IS01"
"MS2010072828"	"S03"	"IS01"
"MS2010072831"	"S03"	"IS01"
"MS2010072838"	"S03"	"IS01"
"MS2010072902"	"S03"	"IS01"
"MS2010072913"	"S03"	"IS01"
"MS2010072001"	"S04"	"IS05"
"MS2010072034"	"S04"	"IS05"
"MS2010072805"	"S04"	"IS05"
"MS2010072835"	"S04"	"IS05"
"MS2010072904"	"S04"	"IS05"
"MS2010072917"	"S04"	"IS05"
"MS2010072921"	"S04"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S04"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S04"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S04"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S04"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S04"	"IS05"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S04"	"IS05"
"MS2010072026"	"S05"	"IS07"
"MS2010072038"	"S05"	"IS07"
"MS2010072837"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S05"	"IS07"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S05"	"IS07"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S05"	"IS07"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S05"	"IS07"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S05"	"IS07"
